  PID  MINFL  MAJFL
 5546  11258      0
 6805  15671      0
 6817    104      0
 6818    191      0
 1429    813      0
 1433   6703      9
 1514 197068     30
 1520  90771      1
 1557   2607      0
 1561    548      1
 1694    587      0
 1621    588      0
 1622   3358      0
 1624    771      0
 1627    389      0
 1630    356      0
 1633    921      0
 1637   2576      0
 1638   2642      0
 1641    720      0
 1650    711      0
 1651    587      0
 1652   2446      0
 1653   3047      0
 1658   2442      0
 1659    724      0
 1660   1155      0
 1664   4203      0
 1665   2492      0
 1761  16903     57
 1779    478      0
 1798  15936     32
 1823    854     39
 2546   3600      2
 2586   2284      5
 1840 1374372  1132
 1847    116      0
 1848    116      0
 1860   3947     46
 1861    509      8
 1864   1286      1
 2396 474994     22
 2428 1216692    35
 3845  38664      2
 4110  28167      0
 4226 127305      1
 4265   3106      1
 4279  62867      8
 4303 163173     25
 5155   3106      0
 5728  81732     13
 5796   2883      0
 5822   3012      0
 5893 157836     20
 6122  39369      0
 6366 167555      6
 2044 652924     28
 2070    121      0
 1805  37412    520
 1850   3709     26
 2042 154843    423
 2056  13552     14
 1680    937      1
 1563   2467      1
